Post Survey Comments,Product Satisfaction,PMF Rating,Primary Replenishment Benefit,Select Top Benefit Replenishment,General Feedback,Experience Improvement,Why does Auto Deliver Hinder Experience
"No, thank you.",You fixed most of the problems that occurred in the beginning weeks of the program. Since then things have worked pretty well.,No Reaction,Faster filling of my cart.,"The ability to easily make changes to your picks, so you're in control of what you buy.",Having the possibility of a every other week replenishment.,Automatic delivery of my Replenishment items,N/A
"I love the Walmart Plus program overall, specially the In-Home feature without the tips and dedicated delivery person.      Not related to Replenishment, but I would love to see more enhancements on the substitution feature:    Right now I have to remember every time to disable substitution if I don’t want other choices (or haven’t seen a way to do it permanently).  Otherwise, if I forget, the substitutions may not be what I would’ve picked.      Ideally, I would have substitutions disabled globally and then only enable it for the items I may consider other choices.  Moreover, I would like to have the ability to fine-tune a substitution with an entire set of items.  For example, right now if I have a gallon of milk in my cart, my only substitution preferences are a different brand of milk or a half-gallon of the same brand.  Ideally, I want two half-gallons of the same brand, but I can’t do that, so I’d rather not pick a substitution.  And if I can save this for each item, then it would be even better :-)",Fine tune frequency of items getting added.,Slightly Disappointed,"Pre populated cart, it’s easier to review and remove items if not needed than going out and finding them individually","It saves you time on the mundane, so you have time for the fun stuff.",I like that the items are labeled with the “replenishment” tag because I’m constantly modifying my cart so it’s good to know which ones were automatically added.,Creating and controlling my own Replenishment list,"I would love to have auto delivery for non-perishable items but I would like to see patterns, like amount and frequency, of some staples to convince myself to commit to an auto-delivery.  Recommending items because I’ve bought them “previously"" or “regularly"" is not enough, for me, to select auto-delivery.  Maybe this can be a hidden or advanced option.  I would love to see my purchase history by individual items, with price and quantity. This information would be very valuable to make future purchases."
"No...love Walmart, Walmart+, and appreciate the hard-working employees who are always helpful when shopping inside the store and the employees who deliver our groceries.","Easy to use; love filling up our cart and ""saving"" other items.  It's always easy to search for a particular item and either add it to the cart or have it shipped.",Very Disappointed,"Almost all of our items that we use regularly are available to us (almost always).  We still have other links to get to items that are ""in season"", which makes it easy to find those items and add them to our cart.","The ability to easily make changes to your picks, so you're in control of what you buy.",I like saving items for the once a week groceries; sometimes it helps to get the items back into the cart or as an item we forgot we needed.  I still like having our lists (especially at holiday times) where we buy specific items for special meals.,Pre-booked delivery time,"We love auto delivery with Walmart plus, and deliveries are always within our selected time frame / day for deliveries."
"The biggest issue I have with walmart is the other vendors they have listed - I would like to be able to choose Walmart products only and have that option stick.  That would be the biggest thing you can do to make the shopping experience better. I want to purchase from walmart, not their third party vendors.    Additionally, I'm pretty frustrated with the at home addition to my account due to the fact that they so often deliver expired or yucky produce and the only way for me to get money back is to take it back to the store.  I originally signed up for in home because they did return pickups, but I have not had that option in a long time and it's not there most of the time.  (Once within the last month ""by accident"" per the person who called to cancel the pick up.)  Having to take back bad products that are damaged or expired makes the delivery moot because i still have to go to the store.","Not really anything - It's nice to have items added directly to your cart, but it's hard to guess how often we would need it I think.",No Reaction,Just not having to search for items to add - but you can find them in your reorder list too.,"The ability to easily make changes to your picks, so you're in control of what you buy.","I think its a nice extra, but I would not pay a separate fee for it.  I do like that it lets you make changes and confirm.",Creating and controlling my own Replenishment list,I'm never positive week to week how much of one item I would use - especially items that expire like cheese - I would end up with too much if they automatically delivered.
N/A,"I think the idea of auto-replenishment is good in theory but I found that I only used maybe 25% of the replenishment picks each week. For various reasons, I did not need the items when they showed up in my cart. Sometimes it was because I had gone to the store over the weekend and purchased a few of the items that were auto replenishment picks but they showed up anyway. And, sometimes it would add 2 of an item but I rarely purchased more than one. One time I didn't see that more than one had been added and ended up with two big trays of chicken, 4 pounds of strawberries and two bags of cucumbers. This is a problem with fresh food as it can go bad before I can eat it. To make this better, I would (1) remove auto picks if the item was purchased within the last few days. (2) only add one of an item OR make it very obvious that two or more were added  like the yellow banner below an auto pick",No Reaction,It starts off your cart with your usual items. Saves time from having to go find them individually and remember them as well,"The ability to have a ""second you"" that knows what you need.","The idea of having a list of weekly picks is good, but I don't always need them. I think an automatically curated list of replenishment picks would be a good alternative. There could be a link in the cart screen that takes you to your picks. Then you can just scroll through the list and tap ""add item"" for each one that you need. This would accomplish the same goal and save time as well without having to go through and remove unwanted picks.",Other,I don't always need the picks. I would end up with items I don't need.
no,Better amount picking,Slightly Disappointed,"Easy to modify list, saves time","The ability to easily make changes to your picks, so you're in control of what you buy.",overall made the process easier,Suggestions for new products we think your family might like,like control over ordering as needs vary
Great job,Saves time and knows my usuals,Moderately Dissapointed,Saving time,"It saves you time on the mundane, so you have time for the fun stuff.",Loved this trial,Suggestions for new products we think your family might like,Don’t always need the same stuff
No,I don’t think there is anything to improve. It just did not work for me.,No Reaction,No benefit for me.,None of the above,It just wasn’t for me.,Creating and controlling my own Replenishment list,I don’t always order the same product
The emails that I got could have been a little more detailed as far as being more easily identifiable. More Walmart branding so they didn’t seem like a scam.,"Some of the items in my cart I did not need but forgot to take them out. There is probably a way to adjust that but I didn’t know how. For example, I had bread and milk Ho to waste because I didn’t need them as often as they were in my cart.",Slightly Disappointed,Not having to search for the items.,"It saves you time on the mundane, so you have time for the fun stuff.",Just needed more guidance of the timing the things were added. But I like doing this instead of subscribing to items.,Creating and controlling my own Replenishment list,I don’t need certain things at all times. I don’t like subscribing because my income changes
N/A,The program got better as time went on. It is hard when we place 2 orders a week because sometimes we order early and then it adds the same items we just ordered to the cart again. So then I have to go remove them. It should look at the last time I ordered something,No Reaction,"Not really anything. I think the thing that says did you want to add … to your cart is more helpful than if you just add it. If you add it then I have to remove it if I don’t want it, which is harder",None of the above,See other comments,Setting my substitutions,Sometimes we want a different day.
No,"You need to give your customers the ability to ‘sort’ the replenishment list. It is difficult to walk through your home areas and have to keep trying to find the items on your list that seems to be sorted by the location in the store or?  If customers could sort the list in the order that they check the items in their home, it would be a real time saver and powerful tool.",Slightly Disappointed,"I used to load previous purchases, in their entirety, to my cart and adjust the items accordingly based on my current needs.  The Replenishment does save that time and if it can add items that are purchased bi-weekly, monthly, etc., it would be even better.","The ability to easily make changes to your picks, so you're in control of what you buy.",I have nothing more to add at this time.  Thank You,Creating and controlling my own Replenishment list,There are to many variables in items ordered
I really appreciate you creating this type of service to meet the needs of the customers. It’s one of the reasons I’ve become a Walmart shopper almost exclusively!,"I love not having to think about putting my weekly grocery needs in my cart. I also love that it adapts the amounts to my needs based on what I’ve ordered the previous weeks. For instance, if I had been increasing the quantities, it factored that in and vice versa.",Very Disappointed,"Time saving and not having to worry about forgetting my essential items! Like milk, bananas and bread :)","It saves you time on the mundane, so you have time for the fun stuff.",I’m not sure if this is something that’s available (I could’ve missed it) but I’d like to be able to add things to my replenishment picks for weekly items. I only saw the subscription option and that’s really only for items I want delivered. Hopefully that can be added or made more prominent.,Creating and controlling my own Replenishment list,Not really sure of what this would mean and it sounds like it would add more money to my final bill. I’m really trying to cut down spending.
Thank you for letting me try this.,While we had teething issues early on the ease of use and volume of picks as the program has grown has become incredibly useful for us. Saves a significant amount of time on the weekly shop,Moderately Dissapointed,Time saved.     I find navigating the site for individual items either by search of by favourites quite cumbersome. This makes the process much simpler.,"The ability to easily make changes to your picks, so you're in control of what you buy.","The ability set ""replenishment"" parameters for items could be something to look into. Like a max limit.    Example, we would set milk to add every week, but maybe set cat food to max monthly.",Creating and controlling my own Replenishment list,We can be slow to review and update. I would prefer to avoid two deliveries if we are slow on the shop. Less hassle for everyone.
N/A,The convenience of having items I buy regularly automatically added to my cart making sure that I don’t forget to get those essentials.,Very Disappointed,Having essentials ready in my cart,"The ability to have a ""second you"" that knows what you need.","It would be great if the program evolved into adding all the items needed for a recipe. For example, being able to make dietary selections/preferences and have the system add ingredients for meals, along with preparation instructions.",Suggestions for how I can save by buying in bulk or switching brands,Automatic delivery would take away my ability to control what I need that week in case of changes.
"Love your Walmart+ program, we have the best delivery people.  Makes life easier for us.  Thank you!","This hit on an untypical month for us.  We had illness, a short trip and visitors.  I often did not stay on schedule for my ordering, but tried to order on Wednesday with Replenishment when the order popped up.  Often I didn't need to order on that day and I had extra for company and less during illness.  I didn't feel pressure from Walmart+, just self pressure to do the program correctly.  All in all it did work well for me.l",Moderately Dissapointed,"Made it easy to see the regular items bought each week.  I didn't have to remember to order bread because it was already on the order.  If I didn't need it, I just took it off.  I could zip through the order and then add extras that I needed.    One negative, I don't have to ""look"" for items, thus less impulse buying!","The ability to easily make changes to your picks, so you're in control of what you buy.","The Replenishment and the Grocery List were redundant.  I know that is because not everyone is on Replenishment, but often the ""list"" would come when I needed to order, and was very helpful, but I would wait a day or two for Replenishment to come to order.  I felt I needed to ""stay with the program"".  Hopefully those can be melded into one to make life really a bit easier.  All in all, I am a fan!",Other,"Even though we are retired, we often have certain times when delivery is just not desirable.  I like setting my day and time period so I know I will be home to receive my groceries.  I don't want them sitting on the doorstep."
"I love to see the way that Walmart is adopting technology to stay competitive and relevant in the retail space. There are so many options when buying groceries and other products, but with the convenience of your products, it is easy to shop at Walmart rather than the competitors.","I would love to see all of my regular weekly items replenished. Currently, only a small selection of what we purchase weekly is being replenished in my cart.",Slightly Disappointed,Replenishment saves time and helps me remember my essentials.,"The ability to have a ""second you"" that knows what you need.","Replenishment is a great concept, once that is going to help me save time once a week when it is time to add my weekly items to my cart. I would like to see it 'learn' as it continues to evaluate what my family buys on a weekly basis so that more of my regular items are added.",Creating and controlling my own Replenishment list,"I would ultimately like control of what is actually being purchased so that if at any point there is an item I don't need, I can delete it from my cart."
I appreciate Walmart working to improve the online shopping experience. The majority of my shopping is online with either delivery or pickup. Any way to save time with that process is helpful.,"System much improved after bugs worked out, but quantities and items added not entirely reflective of what I buy each week.",No Reaction,Nice not having to scroll through my saved items to select usually purchased merchandise. Though adding items to cart still requires me to scroll past them.,"The ability to easily make changes to your picks, so you're in control of what you buy.","After a few weeks of using this and adjusting amounts, the algorithm should adjust and continue to add the amounts I save.",Creating and controlling my own Replenishment list,"With three kids and lots of changes to our weekly schedule, auto delivery would add one more thing I have to be somewhere for at a specific time. I have in home delivery, but I still like to be here when items are delivered…or at least within a few hours of delivery."
N/A,I think having options of separate lists for different seasons of the year—school vs summer would be good.,Moderately Dissapointed,It saves time.,"The ability to easily make changes to your picks, so you're in control of what you buy.","There were times when items I had deleted previous times reappeared in my cart, but this past couple of weeks were better.",Creating and controlling my own Replenishment list,"Life is just not that predictable. With inflation being high, we sometimes have to forego items that are more expensive."
I really like Walmart grocery shopping online.,Recommend rollback or on sale items for replenishment,Moderately Dissapointed,It is so easy to reorder your recurring items without much thought.,"The ability to easily make changes to your picks, so you're in control of what you buy.",I thought the replenishment feature was a good addition to the shopping experience.  I will miss it if it is not available.,Suggestions for how I can save by buying in bulk or switching brands,I like to have control over when items are delivered due to changes in my schedule.
N/A,More reliable and accurate,Moderately Dissapointed,The time it takes to add the items to your cart that you order regularly,"It saves you time on the mundane, so you have time for the fun stuff.",Couple bugs need fixing but on the right track,Suggestions for how I can save by buying in bulk or switching brands,"We order as needed, not on a set day each week but I’m sure it would benefit many"
not at this time.,I loved pulling up my cart and all my regular purchases were already added.,Very Disappointed,saves time and having to remember,"The ability to easily make changes to your picks, so you're in control of what you buy.",i loved everything about this,Suggestions for how I can save by buying in bulk or switching brands,I like to plan mydeliveries so I can be home.
No thank you!,It’s been a nice reminder seeing items in my cart I may have forgotten about.,Moderately Dissapointed,To ensure I do not forget regularly purchased items.,"The ability to easily make changes to your picks, so you're in control of what you buy.","It would be nice to see if items can be grouped by diet. For example, most of the items I purchase (for me… excluding kids) are part of the Mediterranean diet. Would be great to see all items offered that are part of this (or any other diet eg Keto, etc).",Suggestions for new products we think your family might like,"I may not need selected items as frequently as offered. For example, Amazon offers discounts and allows for delivery customization for repeat purchases. Just a thought here."
Nothing tha I can think of right now,"It keeps me on top of the items I use in a daily basis, easy to order and not need to remember when or if I need to order certain items, will recommend to everyone with a busy schedule",Moderately Dissapointed,"It’s a big reminder when you have other things on mind, easy to  forget sometimes that need do some shopping, this keeps me always in top of my shopping for the week","It saves you time on the mundane, so you have time for the fun stuff.",Perhaps give the option on what day of the week to receive the email or reminder,Pre-booked delivery time,"I’m not understanding this question, it will, by keeping me on top of my shopping"
I love the idea and look forward to it rolling out for everyone,"Automatically check out so if I don't check it, I will get what I initially ordered.",No Reaction,Didn't have to add those things that I always buy.,"The ability to have a ""second you"" that knows what you need.",The ability to automatically check out so I don't miss the delivery windows for that day,Automatic delivery of my Replenishment items,N/A
N/A,"Honestly, it just wasn't that useful to me. I didn't feel like it made shopping for groceries any easier or any more efficient.",No Reaction,Less time scrolling through the list of favorite items,"The ability to easily make changes to your picks, so you're in control of what you buy.","Overall, I don't feel like this benefitted me all that much. I didn't look at my cart ever and think, ""Oh, I'm so glad they added that to my cart."" I think that the benefit is pretty marginal",Suggestions for how I can save by buying in bulk or switching brands,"Sometimes we don't consume everything that's added as a replenishment item, specifically the perishables. So to have perishables stacking up in my kitchen and then, subsequently, perishing wouldn't be helpful, but wasteful."
Good facility.,Wider selections,Moderately Dissapointed,Same as current,"The ability to have a ""second you"" that knows what you need.",Same as current,Setting my substitutions,Same as current
No,Nothing,Slightly Disappointed,You don’t forget your regular items,"The ability to easily make changes to your picks, so you're in control of what you buy.",Nothing,Suggestions for how I can save by buying in bulk or switching brands,I already use delivery.
N/A,It required less thought to purchase my groceries!,Moderately Dissapointed,Reminding what products are usually needed by that time in grocery purchase cycle,"The ability to easily make changes to your picks, so you're in control of what you buy.",N/A,Creating and controlling my own Replenishment list,Occasionally my needs don’t fit the replenishment cycle
Nope nothing else,Add the ability to self select additional items for the replenishment,Moderately Dissapointed,Helps me not forget the regular items we buy,"The ability to have a ""second you"" that knows what you need.",It was nice to have a second me.,Creating and controlling my own Replenishment list,Because I don’t always need my items and don’t want to worry about having to cancel.
give me more gift cards,more accurate pics and benefit. it would be nice to have a basic routine delivery date too,No Reaction,remembering your usuals,"It saves you time on the mundane, so you have time for the fun stuff.",you at home program needs work. very inconsistent and not reliable,Automatic delivery of my Replenishment items,N/A
N/A,Easy to use,Slightly Disappointed,Adds my regular items to my cart for me,"It saves you time on the mundane, so you have time for the fun stuff.",I wish when great value transitioned to better goods those items would have populated.,Suggestions for new products we think your family might like,I wouldn’t want auto delivery
N/A,"Don't automatically add things into the shopping cart.  Adds extra effort to remove things and make sure nothing in there that you don't want.  Or if I want to buy a one-off item, I had to clean out all the replenishment items.  Just have it as a optional list to add things to your cart from",No Reaction,"It's a helpful reminder list of things I might need to order.  Would be fine if it is a list of ""things you might need"" that i can scan through an add.  But did not like it all being automatically added to my cart.",None of the above,"Didn't save me any time.  Added more time because I had to check what was automatically added against what I needed.  Easier for me to start from scratch and then select from ""things you might have missed"" from my regular purchases",Other,"I want to be in control of what I order and when.  I am not a robot. I don't use things at the exact same rate every since week.  Sometimes I run out of milk in a week, sometimes it takes two weeks.  Can't be predicted."
Thank you!!!,"It’s a really great tool to help you not forget something. It seems like we all ALWAYS forget something, but having things already added is great because you can always take it off if you don’t need it.",Slightly Disappointed,The main benefit is to help you not forget something important!,"The ability to have a ""second you"" that knows what you need.","I think it works great. I wouldn’t mind having even more things added. Maybe every now and then throw in something I may have only ordered once. So basically, add things even if they aren’t “frequent” items!",Suggestions for how I can save by buying in bulk or switching brands,I wouldn’t like auto delivery because there may be something that I don’t want.
N/A,Allow me to select my own items for replenishment.,Moderately Dissapointed,Reminds me of items that I need regularly.,"The ability to have a ""second you"" that knows what you need.",I would like to be able to select the items included in replenishment.,Creating and controlling my own Replenishment list,My needs change a lot.
No,I don’t like when they fill my basket with items I “usually “ buy then end up with too much.,No Reaction,None,None of the above,I didn’t like it,Other,Because I end up reordering items I don’t realize are already in my cart.
No thank you,"I absolutely loved the service, but it could look for patterns. It obviously has down what we order weekly, but it would be nice if it could learn what we order every other week, once a month, etc. It would also be nice if it suggested complimentary products and added recipe suggestions.",Very Disappointed,"While improvement is needed, it has the potential to remove the stressful part of tracking what you need.","The ability to have a ""second you"" that knows what you need.",This program has excellent potential.,Pairing recipes with product suggestions,I believe i misread the last question...
Thanks!,I like that the things I buy most are already loaded in the cart. Saves me a ton of time when I’m doing groceries so often.,Slightly Disappointed,Saving time searching for things most frequently purchased,"It saves you time on the mundane, so you have time for the fun stuff.",The one thing that I found mildly annoying but not a big deal is that if I wanted to have something delivered such as a single item that I had to empty my cart. Would be nice to have a way I could get around that and keep the replenishment in the cart when I am ready to use. Other than that it was great!,Creating and controlling my own Replenishment list,I buy things in different intervals and some things show up on my replenishment list that I don’t buy every week or even every other week so auto delivery would only work for certain items
Great job!!,I didn’t have to search for my list. It was readily available.,Very Disappointed,The convenience,"It saves you time on the mundane, so you have time for the fun stuff.",The replenishment program is very beneficial,Setting my substitutions,I don’t know when i would need to replenish my grocery list.
N/A,"After the glitches were worked out, seemed fine except it didn’t pick enough products for me (ones I buy almost every week)",Slightly Disappointed,Faster checkout,"The ability to easily make changes to your picks, so you're in control of what you buy.",Worked good after the glitches at the beginning,Creating and controlling my own Replenishment list,Our schedule and needs change throughout the year
N/A,"Make the replenishment picks smarter. For example, if I bought a lot of a product one week, I probably don’t need more of it the next week. Also, it would be good if the replenishment picks were all grouped together in the cart to make it easier to decide whether they need adjustment.",Slightly Disappointed,Replenishment saves time because I don’t have to find and add some of my usuals to the cart.,"It saves you time on the mundane, so you have time for the fun stuff.",I wish there was an easy way to see at a glance all the replenishment items in my cart. It would be great if replenishment could anticipate how often I buy certain items and only add them when it’s time.,Suggestions for how I can save by buying in bulk or switching brands,I want to be in control of when my deliveries arrive.
No,Saves time,Slightly Disappointed,Saves time,"It saves you time on the mundane, so you have time for the fun stuff.",None - already covered,Creating and controlling my own Replenishment list,My needs may change
N/A,There were a few glitches since we were in the pilot such as no Replenishment on the scheduled day.,No Reaction,No benefit because we find your app so easy to use and add items.,"The ability to easily make changes to your picks, so you're in control of what you buy.",What we’d like to see is the ability to save items that are out of stock and to be notified when they’re available.,Suggestions for how I can save by buying in bulk or switching brands,Sometimes it’s easier for me to pick up groceries on my way home from work than delivery when nobody’s home.
N/A,"Convenient service, helps me remember frequently used items which I tend to forget in my orders.",Slightly Disappointed,Replenishment services helped me remember all of my frequently used items.,"The ability to easily make changes to your picks, so you're in control of what you buy.","My replenishment items seemed to hit my cart on Sundays or Mondays, but I typically work my orders for delivery before the workweek.  I would love to see these items hit my cart late in the week so I could include them in my weekend order.  Down the road, it would be neat to see replenishment vary by seasons (e.g. I buy more items for grilling in the summer and comfort foods in the winter.)  I hope that replenishment can someday reference items from the previous year to help me remember my seasonal shift in recipes.",Pairing recipes with product suggestions,"I like being able to adjust my replenishment items as needed.  As an example, I may shift my items needed based on seasons or fluctuation in school year.  I love replenishment but greatly value being able to control my total order."
No,"I would prefer to instead of having my picks loaded in on a certain day of the week, to be prompted when I’m ready to place my order with all the suggestions.",Moderately Dissapointed,Helps me remember things that I need to order,"It saves you time on the mundane, so you have time for the fun stuff.",It worked pretty good for the most part aside from previously mentioned,Creating and controlling my own Replenishment list,I usually get overstocked when I sign up for auto delivery. I forget to go and mark which things I don’t need. Perhaps our usage is too sporadic for this to work for me.
I love the In Home service and the replenishment is coming along.,Continue to develop how it chooses what to put in my cart.,Moderately Dissapointed,Just makes it even easier,"The ability to easily make changes to your picks, so you're in control of what you buy.",Base it on the number of times I shop.,Creating and controlling my own Replenishment list,I forget about automatic stuff. I want control of when I order.
N/A,Suggest more items.,Slightly Disappointed,Helps me remember what I need.,"The ability to have a ""second you"" that knows what you need.","It was pretty helpful, I just wish it suggested more items.",Pairing recipes with product suggestions,I don’t buy and use the same items all of the time.
N/A,"I like that is it not in-your-face like other auto list subscriptions. Amazon S&S creates your list and then forces you to react by a certain date which is more than the typical shipping time to decide what you do and do not want. Replenishment is like a friendly shopping list helper, here are some things we noticed you order each week and we have added them to the list for you. You can take them or leave them it is of no consequence to us. So instead of feeling like I am being forcefully persuaded into spending more money it is genuinely helpful.",Moderately Dissapointed,I don't have to search for those common items. It saves me a few minutes.,"The ability to easily make changes to your picks, so you're in control of what you buy.",Maybe you could suggest more but not much as then it would be overwhelming. I never want replenishment to require me to remove items only add to the list.,Suggestions for how I can save by buying in bulk or switching brands,"Life changes week to week, I may be going out of town that weekend or maybe I have a party or maybe we just don't feel like pizza anymore. I don't want to scramble to prevent a delivery. Each week we sit down and make a list around our needs for that week. Auto delivery would be like Amazon S&S and I would end up with too much or stuff I don't need."
N/A,"It seems to me that the replenishment picks were decently helpful. However, I did not prefer things being added directly to my cart. I like the idea of having helpful suggestions based on things I previously bought but I would rather then show up as cart suggestions that I can approve or deny instead of them being automatically added to my cart and me having to remove some. For example...I often buy lasagna. Replenishment would frequently add lasagna to my cart. However, sometimes I haven't cooked my last lasagna yet. In this case I would basically always have to remove lasagna from my cart since I hadn't used my last one yet. If instead, I had a suggested lasagna I could approve/deny I wouldn't have to worry about accidentally buying more than I need. If I were to approve, it could be added to my cart, and if I were to deny or fail to respond, it would not be added. That would change my rating to 5 stars.",No Reaction,I forget sometimes what my previously purchased items are. It was genuinely helpful seeing the added items and helping me to remember to frequently repurchase. I just wish they were suggestions instead of being automatically added to cart,"The ability to easily make changes to your picks, so you're in control of what you buy.","The biggest feature I would like to see is a recommended feature or at LEAST a note of what was added from replenishment. It's hard for me to tell if my wife, I, or Replenishment added something to the cart. I would prefer if Replenishment picks were recommendations instead of directly added. If you DO directly add them though, please label clearly what was something I added and something that was added automatically so I can more easily check what was added by Replenishment.",Creating and controlling my own Replenishment list,I prefer to get my groceries in fewer trips. I don't want some of my auto replenishment items to show up on different days that I may or may not even need them on. I would rather get everything in my one in-home delivery.
Thank you for selecting me to be in your pilot program! I think it’s a great program and I hope it continues!,It made shopping through the app so much quicker,Moderately Dissapointed,Quicker shopping when I only have a few minutes to create an order,"It saves you time on the mundane, so you have time for the fun stuff.",I can’t think of anything specific I would change. It was a great service for my family.,Creating and controlling my own Replenishment list,For the times we travel or running the kids around and aren’t home. I think I would forget to change the order time or cancel it if it was automatic.
I love Walmart. Keep kicking Target's ass.,"I may have missed it, but it would be nice if I could choose what day the replenishment would fill into my cart.",Slightly Disappointed,It is nice to have stuff show up in my cart when I regularly shop for the same things.,"The ability to easily make changes to your picks, so you're in control of what you buy.","Again, maybe I missed it, but I think it would be helpful to have link that would allow me to add something to my replenishment list from multiple areas - the product details page, the cart, etc.",Creating and controlling my own Replenishment list,"I like to see what I am going to order before it automatically gets delivered to me. With multiple different dieters in the house, I need to check what I have and don't have before I order more."
Nothing else. Please keep this program going!,"I wish we could assign how often we wanted replenishment on certain items such as paper towels, toilet paper etc that we don’t need weekly but a bi weekly or monthly basis",Very Disappointed,It made shopping way quicker & kept track of items I may have forgotten,"It saves you time on the mundane, so you have time for the fun stuff.",I loved this enhancement to the grocery shopping experience. It was easy to add or take away & definitely relied on it after a couple weeks!,Suggestions for new products we think your family might like,I still want control over when items would deliver. Some weeks we have sports or other things going on where we don’t eat as much at home.
It was a good experience,I would like it if there was a little bit less of the items added each week. Or if it was added to the cart every other week (instead of every week).,No Reaction,There were always some of the items I would have chosen already in my cart. That was nice.,"The ability to easily make changes to your picks, so you're in control of what you buy.",I would have liked to be able to choose the items to be replenished on a weekly basis instead of having them chosen for me.,Creating and controlling my own Replenishment list,I would like auto delivery as long as I was able to choose the specific items I wanted replenished.
Call I just don’t think I’ll use replenishment,I personally don’t care for replenishment. I use the my items consistently. The replenishment to me doesn’t help me anyway when I’m trying to figure out what to buy and what to put in my cart unless there’s something I’ve missed during this review I think I will use it.,No Reaction,I’m sorry I don’t really see any true benefit or punishment. I like to have control of the shopping list and I’ll take care of it.,None of the above,"I really don’t see me using it. I like choosing my items myself, and they differ from order to order.",Creating and controlling my own Replenishment list,"We don’t have a continuing order of items some which we order two of something and go a month and not order one for of them and reply to me, doesn’t do that"
"I believe Walmart continually improves on its delivery and pick up experiences. I do not like to go to the store as it’s generally crowded and I have a difficult time finding what I’m looking for. It’s much easier for me to order online, although I think the cost of the program is somewhat prohibitive to many people.",Helps me from forgetting to order something,No Reaction,Works good as a reminder for deliveries,"The ability to have a ""second you"" that knows what you need.","I think it’s a good service, but I would not be willing to pay extra for it.",Creating and controlling my own Replenishment list,I don’t always need the same items each time I order
I appreciate being part of this and other projects.,Replenishment assisted with the shopping needs. I also got on a schedule  to get an order every week.,Very Disappointed,"Regular items were add to my list. Consider adding more items, cross referencing my Sam’s purchases.","The ability to have a ""second you"" that knows what you need.","Add most items, add previous seasonal purchases, add product I might like. Let me opt in or out for replenishment on steroids so to speak.",Suggestions for new products we think your family might like,Sometimes we get back up on products .
Thanks for including me!,Have the shopper add their own items to replenishment. Also allow shopper to have items recur monthly etc. if they are items such as detergent that are t purchased weekly.,No Reaction,Remind you to buy items you’ve bought previously,"The ability to easily make changes to your picks, so you're in control of what you buy.",I appreciated the chance to try replenishment but prefer to pick my own items each week with the choices before check out online I am offered to add previously purchased items.,Creating and controlling my own Replenishment list,I am not always available the same day for delivery and don’t want to forget to cancel items that o may not need/want.
I believe I said most of my thoughts in the zoom interview,More intuitive and less aggressive on adding stuff,No Reaction,Some forgotten things could be added,"The ability to easily make changes to your picks, so you're in control of what you buy.",I would like the option to say no to replenishment picks before any of them get added to cart,Suggestions for how I can save by buying in bulk or switching brands,Not interested in anything auto
Nope. Thanks for including me in this trail. It was fun.,I would like to be able to purchase just a few items out of my cart after the replenishment items have been added. For example if I just need to order a few items on Saturday before I place my big order on Sunday I have to remove everything from the cart to order just a few items. If I could click a few items and purchase those without removing everything else from the cart that would be very helpful.,Very Disappointed,Time savings. I regularly order the same items and to have them in the cart without having to go to old orders to add them saved me time.,"It saves you time on the mundane, so you have time for the fun stuff.",I like that the items that were added say replenishment. My children add things to the cart. The marker indicating it was a replenishment item and not something they added helped me know which was which.     The ability to purchase just a few things in my cart without having to remove everything else would be helpful.     Replenishment is a neat new feature but I’m not sure I would be willing to pay extra for it.,Suggestions for new products we think your family might like,My family gets bored if I buy the same food every week so I have to change things up. Plus I have meetings and church events every week in the evenings so sometimes I don’t cook every night. Therefore the amount of food I have to buy is different each week. If we don’t use everything up each week I won’t buy it the next week. Wouldn’t want something to go bad.
No.  Thanks.,The link in the text notice that I have new items in my cart for the replenishment don't work.  When I click on the link it takes me to a page on the Walmart app that says something like sorry we're having technical issues.  I then click on my cart to see the items.  It would also be nice if I could give the frequency that items get added to my cart because some items are added too often.,Slightly Disappointed,It saves time by not having to search and add items.  It's easier and faster to delete items if I don't want them vs having to add them.,"It saves you time on the mundane, so you have time for the fun stuff.",This survey crashed when I was taking it this morning and I had thought of something.... I'm not remembering what that was now.,Creating and controlling my own Replenishment list,"I would not want the pressure of having to check if I needed the items before they sorry delivered.  Many times I didn't need the items added as frequently add they were replenished, so if I missed removing the item from auto delivery I would get too much."
Nope! The feedback I provided are most of my thoughts regarding this.,The suggestions were not always accurate. Specifically the quantities I would order (ie: 5 avocados each week the system would only add 1),No Reaction,Having some of them items already there in your cart for an easy transaction,"It saves you time on the mundane, so you have time for the fun stuff.",Possibly recommending items similar that were new or helping add stuff to my cart to plan dinner,Pairing recipes with product suggestions,Our family habits change and our schedules fluctuate so we might not need everything each week. It'd feel too much of a hassle to have to remember to cancel if we didn't need it
